Node ID,Recommended nodes
1,[96 32 33 68 14 21 85 53 86 89 90 27 30 62 63]
2,[96 64 97 33 41 9 11 44 76 77 81 51 85 24 62]
3,[32 1 33 4 36 5 37 20 22 23 26 27 29 30 31]
4,[64 97 66 5 8 42 45 17 20 84 21 88 25 59 93]
5,[1 2 3 6 7 8 9 10 11 12 13 15 16 17 18]
6,[65 99 68 100 38 39 42 45 13 15 48 53 54 55 30]
7,[96 68 6 72 42 78 49 17 21 22 56 24 26 29 63]
8,[64 33 98 6 40 41 12 76 16 18 52 53 23 25 57]
9,[37 40 43 79 16 51 84 52 53 85 86 54 23 29 31]
10,[1 2 3 4 5 6 7 39 8 9 12 13 14 15 21]
11,[64 33 34 3 37 40 41 13 85 87 56 89 26 59 31]
12,[3 40 9 73 78 17 83 85 53 87 55 23 56 90 60]
13,[68 70 39 73 49 82 85 22 55 23 24 56 94 62 31]
14,[64 97 67 10 43 77 15 49 82 52 84 86 23 60 62]
15,[97 3 6 46 48 17 84 90 28 92 61 29 62 94 95]
16,[64 97 66 100 5 70 39 9 46 49 51 83 84 21 27]
17,[1 2 3 4 6 7 8 9 10 11 12 13 14 15 16]
18,[96 33 98 35 72 73 44 15 47 53 25 26 27 28 63]
19,[32 65 99 40 73 10 15 47 18 53 57 89 58 28 62]
20,[1 2 4 5 6 7 8 9 10 13 16 17 18 19 21]
21,[33 3 6 45 14 50 83 20 85 23 88 56 89 57 63]
22,[32 36 7 8 41 9 11 77 79 49 18 19 60 62 95]
23,[34 67 68 39 9 75 76 78 18 84 56 89 58 31 95]
24,[35 3 72 41 10 11 81 50 51 21 22 57 91 92 60]
25,[7 8 9 10 11 12 14 15 16 17 18 19 20 21 22]
26,[32 96 64 100 37 70 7 11 48 80 81 52 88 92 28]
27,[100 68 37 70 71 39 72 41 13 47 57 29 61 30 31]
28,[64 32 66 36 8 79 47 52 55 89 90 59 27 60 62]
29,[64 97 66 35 3 70 44 45 79 85 25 89 27 28 61]
30,[64 2 37 38 74 77 46 48 50 52 53 55 24 28 94]
31,[1 2 3 4 5 6 11 12 13 14 15 16 17 18 19]
32,[3 100 6 40 10 75 11 14 80 18 55 24 26 91 30]
33,[1 2 5 6 7 8 9 10 11 12 13 15 16 17 18]
34,[96 64 3 36 37 74 12 44 80 85 23 87 25 26 29]
35,[98 68 36 38 71 8 40 9 12 16 85 22 55 24 61]
36,[97 98 37 12 13 79 16 80 50 51 52 20 59 94 30]
37,[96 33 35 68 70 7 40 47 80 16 21 86 55 91 30]
38,[1 3 4 5 6 7 8 9 20 21 22 24 26 27 28]
39,[96 33 1 34 3 6 38 71 11 12 13 17 29 30 31]
40,[64 98 99 69 6 70 39 9 46 48 50 55 92 30 63]
41,[65 34 70 71 10 17 18 57 26 59 60 28 93 94 31]
42,[96 37 70 38 40 73 11 79 85 54 56 58 91 94 63]
43,[1 35 68 5 77 13 45 20 22 55 87 90 27 92 60]
44,[96 97 67 37 42 43 77 78 82 53 55 25 60 29 94]
45,[1 2 3 4 5 8 9 10 11 12 13 15 16 17 18]
46,[97 2 69 40 73 48 81 17 87 56 57 27 28 92 61]
47,[66 38 70 72 8 12 81 84 21 53 89 91 28 31 63]
48,[2 4 5 6 7 8 9 10 11 13 14 15 16 17 18]
49,[97 1 99 37 38 72 42 75 77 13 83 20 54 58 27]
50,[68 36 37 73 43 77 13 19 84 55 24 25 58 92 30]
51,[1 2 3 4 5 7 8 9 10 11 12 13 14 15 16]
52,[65 36 5 7 72 10 42 14 15 79 19 54 88 25 94]
53,[96 97 1 99 8 41 10 43 75 13 78 14 48 49 58]
54,[32 68 5 74 43 44 18 83 20 87 23 55 57 27 95]
55,[2 3 5 6 7 8 9 10 11 12 13 15 16 17 18]
56,[39 72 9 41 10 44 47 49 17 82 53 21 28 30 95]
57,[32 100 4 6 8 72 42 77 45 81 82 83 20 21 56]
58,[64 97 98 37 6 7 9 41 47 52 53 86 89 59 95]
59,[1 2 3 5 6 7 8 9 10 12 14 16 17 19 21]
60,[96 36 70 7 72 73 74 48 20 24 26 90 30 95 31]
61,[34 7 74 45 47 80 81 82 83 21 22 58 29 63 31]
62,[64 97 41 75 44 46 78 17 18 22 23 58 91 63 31]
