Node ID,Recommended nodes
1,[2 3 4 5 6 7 8 9 10 43 11 12 13 14 15]
2,[1 3 4 5 6 7 8 9 10 43 11 12 13 14 15]
3,[32 1 4 5 43 14 20 21 22 23 26 27 29 30 31]
4,[1 2 3 100 5 6 7 8 9 10 43 11 12 13 14]
5,[1 2 3 6 7 8 9 10 43 11 12 13 15 16 17]
6,[1 2 3 4 5 7 8 9 10 43 11 12 13 14 15]
7,[1 2 3 4 5 6 8 9 10 43 11 12 13 14 15]
8,[1 2 3 4 5 6 7 9 10 43 11 12 13 14 15]
9,[1 2 3 4 5 6 7 8 10 43 11 12 13 14 15]
10,[1 2 3 4 5 6 7 8 9 43 11 12 13 14 15]
11,[1 2 3 4 5 6 7 8 9 10 43 12 13 14 15]
12,[1 2 3 4 5 6 7 8 9 10 43 11 13 14 15]
13,[1 2 3 4 5 6 7 8 9 10 43 11 12 14 15]
14,[1 2 3 4 5 6 7 8 9 10 43 11 12 13 15]
15,[1 2 3 68 4 5 6 7 8 9 10 43 11 12 16]
16,[1 2 3 68 4 5 6 7 8 9 10 43 11 12 15]
17,[1 2 3 4 69 6 7 8 9 10 43 11 12 13 14]
18,[1 2 3 4 5 6 7 8 9 10 43 11 12 13 14]
19,[1 2 3 4 5 6 7 8 9 10 43 11 12 13 14]
20,[1 2 4 5 6 7 8 9 10 13 16 17 18 19 21]
21,[1 2 3 4 5 6 7 8 9 10 43 11 12 13 22]
22,[1 2 3 4 5 6 7 8 9 10 43 11 12 13 21]
23,[1 2 3 4 5 6 7 8 9 42 10 43 24 25 26]
24,[1 2 3 4 5 6 7 8 9 42 10 43 23 25 26]
25,[7 8 9 42 10 43 11 12 14 15 16 17 23 24 26]
26,[1 2 3 4 5 6 7 8 9 42 10 43 23 24 25]
27,[1 2 3 4 5 6 7 8 9 10 43 11 12 13 14]
28,[1 2 3 4 5 6 7 8 9 10 43 11 12 29 30]
29,[1 2 3 4 5 6 7 8 9 10 43 11 12 28 30]
30,[1 2 3 4 5 6 7 8 9 10 43 11 12 28 29]
31,[1 2 3 4 5 6 11 12 13 14 15 16 17 18 19]
32,[1 2 3 4 5 6 7 8 9 10 43 11 12 13 31]
33,[1 34 2 35 36 5 6 7 8 9 10 43 11 12 13]
34,[33 1 2 35 3 36 4 5 6 7 8 9 10 43 11]
35,[33 1 34 2 3 36 4 5 6 7 8 9 10 43 11]
36,[33 1 34 2 35 3 4 5 6 7 8 9 10 43 11]
37,[1 2 3 4 5 6 7 8 9 10 43 11 12 13 14]
38,[1 3 4 5 6 7 8 9 20 21 22 24 26 27 28]
