Node ID,Recommended nodes
1,[2081 9955 8100 2021 8173 8271 5492 9012 6676 821 4694 3129 9339 795 8125]
2,[7778 5348 2788 5287 6184 6734 4271 8947 5460 8917 726 2935 1530 6301 8509]
3,[5289 4585 7562 6571 4108 9932 1901 1712 3861 7445 4249 569 506 3453 4191]
4,[8034 5956 6278 8490 2124 6189 9101 2704 7472 1587 8342 9238 3607 2489 8863]
5,[3040 7009 3298 2916 4075 5134 5551 1106 6066 596 8405 8630 6008 9690 8635]
6,[6401 2307 807 4615 1832 7244 6766 9999 6897 3154 7540 4570 3998 7807 2623]
7,[7201 4483 3717 8969 3018 4402 9074 563 5043 5396 3860 6454 9912 7644 6397]
8,[130 99 1859 5862 2250 7088 6293 7735 4730 7739 8796 8028 8157 1471 6911]
9,[6529 1124 7301 5645 4557 2189 7504 6897 275 4084 2550 2873 5785 9210 9373]
10,[9728 9633 2082 7366 966 6631 8968 7025 1491 2228 2582 152 3353 8446 4702]
11,[8513 5475 9069 8558 9552 4752 3761 3859 9752 3705 3097 9498 9818 6365 1407]
12,[6657 3365 9254 2150 9671 9481 2350 6831 4560 8048 20 9044 1880 7993 1087]
13,[8803 6819 5865 7049 1226 5842 8405 6999 8088 7769 9690 3450 4474 1244 8382]
14,[8032 3843 9443 9830 1286 840 9929 6377 4620 7725 8559 6320 1716 5849 2302]
15,[4417 3591 5351 1737 5355 6156 9358 7090 6613 5335 4377 1406 4126 3774 2719]
16,[5728 1409 2081 6882 5155 9640 3499 8300 3091 2708 5780 598 4342 312 6842]
17,[9830 3911 456 3850 8047 6479 145 6193 4211 2803 6231 2615 4824 3450 159]
18,[1888 320 5152 4005 7750 9608 3690 1228 1262 1557 4342 5208 8634 2171 1885]
19,[290 1283 3748 8649 6698 5868 5388 7693 2575 7282 9109 1174 1846 5727 1823]
20,[6080 6823 6606 7535 7377 3411 3700 7157 4470 2585 8730 5594 5501 1118 9118]
21,[3584 1696 7905 4835 7141 9803 4464 3986 5107 8275 5075 9973 9112 6073 5113]
22,[1538 8231 4455 9164 8652 1295 9106 9396 9845 2135 8728 828 8380 4061 31]
23,[8705 9637 6727 8906 3466 2255 4720 2354 7347 2772 4023 3768 4889 5754 1822]
24,[7713 9988 3493 3400 2186 3055 6640 693 9527 7129 9594 8634 2811 3549 2877]
25,[6402 7524 6948 5255 3559 2410 1966 6256 2132 3924 9684 5785 4316 6780 3773]
26,[6660 6341 1991 3529 4395 6283 5774 3535 4655 2672 1488 3824 7059 8596 3002]
27,[2401 5827 613 4042 3658 5420 8878 5006 7374 2580 2805 537 1370 6011 3388]
28,[2240 6209 4998 8903 1196 752 1458 3413 7221 8854 3929 3771 2556 3549 3421]
29,[7105 9569 9477 6087 524 4786 9620 4695 9819 860 2461 3326 1727 1279 9151]
30,[485 9543 5832 874 3821 5742 3410 405 2742 9528 1048 7001 6684 2364 4606]
31,[8608 1186 5509 3176 3018 2154 170 3404 8556 2417 1618 5460 9335 1852 7262]
32,[961 6657 7073 7969 1986 4615 808 6248 1386 2474 5899 4242 8978 9177 6748]
33,[97 8516 3429 2629 1510 1514 6667 3915 9964 5581 9617 5979 1083 125 4287]
34,[1633 642 9764 3270 8902 6824 6861 3565 2673 5138 1302 5111 4060 3228 6524]
35,[352 6466 9028 356 6245 6918 7208 4136 7944 2826 4881 8501 4085 8727 6519]
36,[1504 9826 4835 6243 4453 8965 6407 235 3437 654 818 4405 8246 887 3676]
37,[9889 1249 5954 2978 9892 7690 9388 9904 6353 4562 9492 2293 5558 8054 7418]
38,[8353 2498 4005 4934 6886 2951 4903 6152 5584 8720 9108 8152 4572 990 1503]
39,[8097 8099 7811 9701 8238 7790 1264 596 7413 9463 7897 9274 4602 5439 5375]
40,[2976 8800 2660 5796 9637 3431 587 4814 3504 9840 9396 5012 3156 437 629]
41,[36 7 40 9 42 11 78 15 47 16 17 50 88 25 28]
42,[8512 4897 163 9731 4100 1640 8521 7342 1838 9647 1456 1393 2257 9302 7897]
43,[192 4193 1220 7333 8166 3751 8939 9996 6447 4049 1108 3573 4316 6333 9119]
44,[4641 6917 264 8940 7953 9489 6994 628 5494 1911 5976 5721 9180 4477 255]
45,[7776 7105 9505 5218 3170 4232 2057 1903 1265 1844 1750 4439 6873 217 1469]
46,[4096 2857 6411 9358 6671 1075 5779 276 1014 8791 8408 7610 7292 2910 7518]
47,[7680 7012 3558 5448 5992 3596 8813 5712 753 7409 9906 6962 5010 3288 8318]
48,[6500 2052 9926 6600 9065 8270 6479 5135 6608 6868 7284 9143 2295 8441 5789]
49,[5057 3683 6825 6764 9999 3759 7024 3185 8883 7673 1945 7964 5436 8957 7870]
50,[481 3203 1541 5509 3877 3847 5320 9163 9100 4846 7952 7379 1652 2937 2172]
51,[6659 9796 5639 4712 6990 3344 4049 7764 9364 2200 665 8541 6846 6046 1182]
52,[3424 4896 7715 8004 4069 9098 1356 5741 2929 4757 986 8379 4572 9884 349]
53,[9410 549 8261 7718 8714 9198 5614 3441 3698 4626 6074 1725 4734 5342 1119]
54,[6945 8646 5961 6954 6635 8779 1773 3823 1040 5168 5108 8118 4283 9595 6750]
55,[5152 9763 5542 9003 9868 9457 4788 8055 4567 5816 4888 4505 1017 7260 5599]
56,[224 6915 1861 5098 3148 4589 6959 6640 7378 1075 2003 1846 632 5882 1087]
57,[8769 2722 8482 6531 2441 2155 6862 3311 5489 3475 884 8725 440 9310 3934]
58,[1888 5062 104 3405 1261 4813 2286 3983 368 1968 1434 5658 6331 2012 8063]
59,[8832 6850 8485 5611 6539 6000 6323 9139 7572 7668 2871 7351 7355 8925 8126]
60,[5313 355 1220 5348 8936 1929 2826 590 369 5331 7763 5144 4093 3389 8574]
61,[8257 5314 1090 8580 4837 9446 9578 7757 9070 1136 1235 3222 1335 7032 6396]
62,[1027 8518 5672 2091 7627 9996 2478 5716 116 7029 9269 598 6297 1050 3612]
63,[3137 7553 4545 6018 4420 8774 2601 4845 1423 7090 4403 4309 8796 6206 3007]
64,[3265 8807 6729 5037 5390 4078 8591 1872 7313 5432 8889 8697 1242 572 2269]
65,[3650 8386 963 6 1670 198 2569 7178 4204 3984 7571 3573 3192 731 6524]
66,[2273 1936 979 4147 5204 2004 7670 8566 5302 6295 7736 664 856 7899 1982]
67,[3074 707 4709 5157 902 7274 4046 7055 4369 5235 1236 9883 6748 2749 8029]
68,[449 486 518 263 359 42 490 395 495 82 403 499 121 473 26]
69,[1954 9218 9059 357 6539 1963 8235 749 7762 5558 4310 9815 1879 1272 667]
70,[9760 4769 2723 9573 2310 486 4646 6505 7307 8339 20 3287 5592 7996 8605]
71,[8995 2243 4837 7976 2538 7564 7216 9107 8276 1685 3355 8155 4318 1087 3199]
72,[960 1184 6786 9411 9190 3785 1323 2220 1903 8175 7194 7452 8829 318 6911]
