Node ID,Recommended nodes
1,[96 34 98 67 37 6 7 45 78 15 50 21 54 62 94]
2,[96 65 3 35 4 6 71 75 77 16 80 82 86 57 93]
3,[32 1 33 4 36 5 37 20 22 23 26 27 29 30 31]
4,[65 2 5 73 10 74 43 76 44 84 54 92 93 94 63]
5,[1 2 3 6 7 8 9 10 11 12 13 15 16 17 18]
6,[97 98 67 38 74 47 17 83 85 89 27 28 60 62 95]
7,[32 33 35 39 11 14 49 23 89 90 27 92 93 61 95]
8,[64 3 7 73 74 79 47 80 16 17 82 22 25 57 28]
9,[1 65 100 72 73 42 18 50 82 51 20 90 27 62 63]
10,[1 2 3 4 5 6 7 39 8 9 12 13 14 15 21]
11,[98 66 5 12 46 47 48 55 88 57 58 90 60 93 30]
12,[96 34 35 8 73 74 43 51 53 54 23 55 60 29 31]
13,[96 98 2 3 69 82 52 53 55 87 88 58 26 91 93]
14,[33 98 66 67 3 37 7 75 78 83 20 21 22 58 94]
15,[96 33 5 39 40 74 12 14 46 50 20 22 59 27 30]
16,[32 66 34 4 72 41 44 81 86 22 55 56 89 92 95]
17,[1 2 3 4 6 7 8 9 10 11 12 13 14 15 16]
18,[65 68 100 72 9 11 13 45 14 85 53 86 26 59 93]
19,[66 99 67 35 72 8 43 16 49 53 23 25 26 90 59]
20,[1 2 4 5 6 7 8 9 10 13 16 17 18 19 21]
21,[65 98 38 41 46 49 52 84 55 24 58 91 60 30 95]
22,[35 99 36 100 5 38 39 8 72 73 15 48 27 94 31]
23,[32 37 6 71 40 9 10 49 81 18 19 83 54 55 61]
24,[71 42 75 45 79 47 81 54 22 55 89 26 90 28 31]
25,[7 8 9 10 11 12 14 15 16 17 18 19 20 21 22]
26,[33 34 2 4 7 71 44 13 14 80 18 27 91 93 94]
27,[36 4 6 70 8 73 11 14 15 81 17 83 54 23 29]
28,[66 99 37 6 44 14 15 16 85 88 25 58 91 94 62]
29,[96 32 4 6 38 39 41 10 11 13 82 24 60 92 63]
30,[96 65 1 4 40 72 11 77 46 81 18 83 51 90 91]
31,[1 2 3 4 5 6 11 12 13 14 15 16 17 18 19]
32,[68 38 72 8 10 43 12 49 17 82 84 52 54 61 63]
33,[1 2 5 6 7 8 9 10 11 12 13 15 16 17 18]
34,[97 99 4 70 11 47 53 21 22 23 88 89 26 30 63]
35,[98 66 68 5 39 8 73 43 45 80 18 20 88 25 62]
36,[1 65 38 39 73 11 75 82 83 51 84 20 90 29 94]
37,[96 66 99 36 40 42 45 46 48 16 80 21 60 28 63]
38,[1 3 4 5 6 7 8 9 20 21 22 24 26 27 28]
39,[3 68 5 10 48 80 19 21 54 56 91 60 61 63 31]
40,[96 33 68 39 8 78 47 48 16 49 81 85 55 26 60]
41,[64 96 73 9 42 75 45 13 78 83 20 52 23 62 95]
42,[33 2 34 98 3 8 41 12 49 18 52 55 91 29 94]
43,[65 97 41 42 10 12 14 78 80 50 19 52 22 95 63]
44,[64 33 5 38 8 43 14 24 89 91 92 93 61 30 62]
45,[1 2 3 4 5 8 9 10 11 12 13 15 16 17 18]
46,[36 37 70 6 40 42 79 17 49 84 55 27 29 94 30]
47,[2 35 99 36 77 79 48 83 52 23 24 56 89 28 95]
48,[2 4 5 6 7 8 9 10 11 13 14 15 16 17 18]
49,[33 65 5 39 72 9 81 19 52 22 89 26 27 93 95]
50,[33 36 100 69 5 71 72 73 77 45 15 47 83 53 21]
51,[1 2 3 4 5 7 8 9 10 11 12 13 14 15 16]
52,[32 1 2 98 35 38 10 43 78 47 81 19 54 26 28]
53,[34 35 68 36 69 5 45 14 81 82 21 58 92 29 62]
54,[67 37 6 70 7 40 43 44 79 19 20 92 93 30 62]
55,[2 3 5 6 7 8 9 10 11 12 13 15 16 17 18]
56,[64 97 98 3 36 5 71 44 76 49 81 83 24 94 63]
57,[99 68 5 6 11 14 79 80 81 50 82 19 86 58 26]
58,[1 3 35 7 10 80 17 50 20 86 23 87 26 59 61]
59,[1 2 3 5 6 7 8 9 10 12 14 16 17 19 21]
60,[96 65 33 34 37 7 16 81 50 51 52 24 88 92 29]
61,[2 68 5 6 39 11 78 15 80 17 81 88 90 30 63]
62,[97 66 98 34 4 36 69 8 40 43 82 19 52 89 29]
63,[96 64 99 36 5 39 43 12 77 78 16 18 60 61 31]
64,[1 34 36 13 14 15 18 19 20 21 23 26 27 30 31]
65,[32 66 98 4 5 38 7 13 14 78 82 84 22 59 30]
66,[97 3 99 37 70 6 9 44 46 80 87 88 57 25 95]
67,[33 2 71 39 72 40 73 46 47 80 18 57 59 60 61]
68,[1 3 4 5 7 9 12 14 15 17 18 19 20 22 25]
69,[65 33 2 37 5 13 45 50 19 84 52 55 89 26 63]
70,[32 33 98 100 72 8 42 11 76 13 82 20 86 26 60]
71,[1 2 3 4 5 6 7 9 11 12 13 17 19 20 22]
72,[2 3 4 6 7 8 13 17 18 19 20 21 22 24 25]
73,[96 98 68 41 76 13 78 79 47 82 91 27 59 28 62]
74,[38 39 40 41 43 13 14 16 20 21 25 26 28 29 31]
75,[67 3 7 41 10 42 13 46 49 50 52 53 22 57 90]
76,[1 2 4 5 9 11 12 18 19 20 21 22 23 24 25]
77,[1 33 3 35 4 5 37 6 9 12 13 14 15 17 31]
78,[1 98 4 70 12 76 14 17 86 87 23 27 30 62 63]
79,[35 100 68 39 40 75 16 83 53 85 23 27 92 60 95]
80,[65 33 99 70 12 14 47 50 83 84 22 59 61 30 63]
81,[7 8 40 9 11 46 14 52 55 56 89 26 91 92 95]
82,[1 2 3 4 5 6 7 10 11 12 14 15 16 18 20]
83,[4 39 71 73 77 19 21 88 25 58 60 28 29 94 95]
84,[64 98 34 37 70 41 9 77 46 49 85 55 56 27 94]
85,[1 2 3 5 6 8 9 10 11 14 16 17 18 19 20]
86,[32 64 69 70 73 74 43 76 45 77 52 21 55 25 26]
87,[64 70 72 8 41 42 77 14 79 50 51 84 92 62 63]
88,[4 5 6 7 39 8 40 9 10 11 43 44 13 15 18]
89,[66 67 5 72 73 9 11 45 85 53 21 57 90 28 95]
90,[64 98 35 67 73 74 46 47 19 54 56 25 58 27 31]
91,[98 35 6 71 72 73 43 11 12 21 86 87 26 92 95]
92,[32 3 68 36 8 41 42 44 46 17 82 84 20 22 62]
93,[33 3 4 6 14 15 18 19 20 22 23 24 28 30 31]
94,[32 96 98 37 6 9 42 12 49 24 26 27 29 30 95]
95,[6 7 8 9 12 13 14 15 17 19 21 22 24 25 26]
96,[98 99 4 100 92 93 95]
97,[5 6 7 9 10 12 13 14 15 16 17 18 19 21 22]
98,[32 1 2 3 16 17 19 21 22 23 24 25 26 30 31]
99,[48 65 50 56 57 11 75 60 61 93 62 79]
100,[96 1 2 3 68 6 70 14 15 81 21 87 28 29 94]
