Node ID,Recommended nodes
1,[32 97 98 99 100 75 14 20 22 87 55 26 90 28 95]
2,[97 4 36 69 16 51 20 21 53 54 26 60 92 61 93]
3,[32 1 33 4 36 5 37 20 22 23 26 27 29 30 31]
4,[1 71 9 73 42 11 48 82 87 89 90 91 59 28 30]
5,[1 2 3 6 7 8 9 10 11 12 13 15 16 17 18]
6,[65 34 5 69 40 13 15 80 49 88 58 59 27 28 30]
7,[65 35 68 71 14 47 51 85 53 24 25 57 90 27 29]
8,[32 33 5 38 40 12 77 45 15 79 54 87 57 27 63]
9,[32 68 73 10 75 49 82 51 53 88 92 94 95 63 31]
10,[1 2 3 4 5 6 7 39 8 9 12 13 14 15 21]
11,[32 2 68 5 6 7 40 10 42 52 24 90 92 94 31]
12,[1 65 35 3 100 41 11 76 77 45 81 24 57 27 92]
13,[32 33 65 99 4 6 71 72 47 82 18 52 85 29 31]
14,[98 99 3 71 39 40 11 75 85 87 23 59 27 92 30]
15,[96 33 3 70 8 73 42 76 44 12 80 90 92 60 61]
16,[97 98 4 39 77 46 14 79 80 20 55 24 89 28 63]
17,[1 2 3 4 6 7 8 9 10 11 12 13 14 15 16]
18,[70 71 8 10 42 44 77 80 81 53 21 22 56 59 31]
19,[64 65 100 6 73 43 11 15 85 23 25 59 60 29 30]
20,[1 2 4 5 6 7 8 9 10 13 16 17 18 19 21]
21,[97 66 34 3 37 9 12 14 18 19 85 88 25 92 63]
22,[33 2 71 40 9 11 83 54 55 88 89 59 29 30 95]
23,[32 68 40 9 10 11 12 13 77 17 20 87 89 94 30]
24,[32 2 34 99 68 4 39 7 9 42 48 18 86 28 30]
25,[7 8 9 10 11 12 14 15 16 17 18 19 20 21 22]
26,[33 98 66 4 37 69 6 40 48 82 21 86 88 56 61]
27,[2 37 5 70 71 72 17 19 20 21 23 25 26 59 95]
28,[64 97 99 3 73 42 17 51 53 88 57 58 91 92 30]
29,[3 4 37 9 42 14 19 52 20 21 88 58 92 93 30]
30,[4 37 6 70 8 44 77 48 49 50 84 85 22 58 31]
31,[1 2 3 4 5 6 11 12 13 14 15 16 17 18 19]
32,[33 35 99 4 69 74 79 53 87 55 57 58 27 28 95]
33,[1 2 5 6 7 8 9 10 11 12 13 15 16 17 18]
34,[96 33 36 100 7 72 74 10 11 76 78 15 19 88 25]
35,[34 100 5 9 42 43 12 49 18 20 22 54 26 28 30]
36,[34 2 37 40 10 42 43 14 15 86 23 57 93 62 31]
37,[98 8 9 41 10 11 12 76 14 81 21 57 26 28 93]
38,[1 3 4 5 6 7 8 9 20 21 22 24 26 27 28]
39,[35 38 7 71 41 74 13 21 53 57 27 61 93 30 31]
40,[97 33 98 67 5 7 8 74 43 14 49 52 21 29 95]
41,[66 37 10 75 80 49 50 20 84 23 56 25 58 60 28]
42,[1 33 98 5 38 41 73 44 13 46 48 23 91 27 60]
43,[2 68 71 72 13 81 83 86 25 90 91 92 29 62 63]
44,[32 65 66 69 5 10 43 45 77 13 46 54 55 87 63]
45,[1 2 3 4 5 8 9 10 11 12 13 15 16 17 18]
46,[65 97 33 34 39 13 79 80 51 19 20 54 58 27 29]
47,[66 34 67 100 68 69 5 40 41 79 81 18 85 54 91]
48,[2 4 5 6 7 8 9 10 11 13 14 15 16 17 18]
49,[33 66 4 71 72 8 41 13 46 81 25 59 28 61 63]
50,[35 69 5 71 12 13 46 49 53 24 58 90 27 62 31]
51,[1 2 3 4 5 7 8 9 10 11 12 13 14 15 16]
52,[38 40 75 46 16 20 84 53 86 23 55 89 26 59 29]
53,[97 2 4 68 100 10 44 14 49 51 19 54 91 93 62]
54,[32 2 66 70 72 73 11 77 47 80 56 57 90 28 94]
55,[2 3 5 6 7 8 9 10 11 12 13 15 16 17 18]
56,[68 38 71 8 72 41 10 76 78 46 51 53 23 89 61]
57,[33 99 37 40 41 74 43 76 52 56 60 61 62 31 95]
58,[1 65 2 36 71 7 9 44 15 18 51 52 53 90 91]
59,[1 2 3 5 6 7 8 9 10 12 14 16 17 19 21]
60,[64 33 66 37 74 75 79 51 19 53 23 88 24 90 95]
61,[64 96 2 100 73 44 76 13 14 46 17 19 23 88 92]
62,[97 98 35 70 72 74 44 12 13 81 82 21 60 92 29]
63,[97 71 9 12 81 50 82 83 20 88 25 89 91 27 61]
64,[1 34 36 13 14 15 18 19 20 21 23 26 27 30 31]
65,[66 38 6 70 40 12 14 21 54 86 24 57 28 94 31]
66,[64 1 2 70 40 10 15 47 18 85 56 57 91 27 59]
67,[2 35 37 7 72 76 78 48 81 51 55 88 59 60 63]
68,[1 3 4 5 7 9 12 14 15 17 18 19 20 22 25]
69,[65 99 68 4 38 74 45 77 48 18 83 54 90 60 93]
70,[35 68 7 39 74 44 15 49 83 85 54 88 90 62 95]
71,[1 2 3 4 5 6 7 9 11 12 13 17 19 20 22]
72,[2 3 4 6 7 8 13 17 18 19 20 21 22 24 25]
73,[100 70 10 74 75 44 16 51 20 52 86 89 27 31 95]
74,[38 39 40 41 43 13 14 16 20 21 25 26 28 29 31]
75,[66 3 70 8 43 76 13 15 17 82 55 91 61 93 30]
76,[1 2 4 5 9 11 12 18 19 20 21 22 23 24 25]
77,[1 33 3 35 4 5 37 6 9 12 13 14 15 17 31]
78,[96 65 97 73 43 12 16 80 81 50 52 23 91 60 93]
79,[67 3 36 70 71 42 10 74 75 45 77 87 89 29 62]
80,[64 97 66 67 35 37 70 7 42 77 13 21 27 93 62]
81,[64 33 2 100 37 39 10 18 84 21 25 89 91 29 30]
82,[1 2 3 4 5 6 7 10 11 12 14 15 16 18 20]
83,[38 70 40 9 43 78 81 84 86 23 55 87 27 92 63]
84,[2 98 4 69 38 41 11 43 12 14 47 86 54 26 60]
85,[1 2 3 5 6 8 9 10 11 14 16 17 18 19 20]
86,[32 64 69 70 73 74 43 76 45 77 52 21 55 25 26]
87,[65 34 68 5 38 74 77 16 48 84 21 58 26 27 94]
88,[4 5 6 7 39 8 40 9 10 11 43 44 13 15 18]
89,[33 1 35 67 40 8 42 43 85 56 25 57 27 94 63]
90,[33 2 98 70 6 73 78 17 51 53 21 57 59 60 31]
91,[32 33 97 66 72 74 14 80 22 89 25 26 90 27 61]
92,[96 65 97 5 41 74 78 82 86 24 25 57 26 59 91]
