SkierID,Vertical
15157,9500
30942,9500
7291,9500
9991,9500
3876,9400
29102,9400
29462,9400
29760,9400
4093,9400
27426,9400
13525,9400
31115,9400
651,9400
5508,9400
38399,9400
3566,9400
36334,9300
24399,9300
36468,9300
34649,9300
1994,9300
10932,9300
32425,9300
19454,9300
20657,9300
20665,9300
8509,9300
6042,9300
39140,9300
27723,9300
27938,9300
37440,9300
25936,9300
9007,9300
9059,9300
9113,9300
21780,9300
9578,9300
7204,9300
31898,9300
5893,9300
12219,9300
1104,9200
1158,9200
12512,9200
36655,9200
12808,9200
10540,9200
1809,9200
20317,9200
32306,9200
32373,9200
19387,9200
10937,9200
10917,9200
20686,9200
19608,9200
20994,9200
6032,9200
15089,9200
8942,9200
17605,9200
17603,9200
6415,9200
30705,9200
6677,9200
4080,9200
17926,9200
27432,9200
25115,9200
27700,9200
37165,9200
25134,9200
4517,9200
25295,9200
37222,9200
13404,9200
13368,9200
37382,9200
13538,9200
25467,9200
25444,9200
37581,9200
25660,9200
37771,9200
2626,9200
35387,9200
11624,9200
11641,9200
23582,9200
9277,9200
21758,9200
33849,9200
31377,9200
28041,9200
9978,9200
431,9200
31713,9200
14087,9200
7988,9200
